user_id,signup_date,age_group,country,gender,acquisition_channel
183,2026-07-23,18-24,UK,Male,Social Media
184,2025-09-02,35-44,India,Female,Social Media
185,2025-12-22,25-34,India,Male,Organic Search
186,2025-11-29,25-34,Canada,Male,Social Media
187,2026-06-08,18-24,Australia,Female,Social Media
188,2025-10-27,25-34,India,Male,Paid Ads
189,2025-10-05,25-34,India,Prefer not to say,Social Media
190,2026-01-08,25-34,India,Male,Organic Search
191,2025-12-29,35-44,USA,Female,Organic Search
192,2025-11-06,25-34,Australia,Male,Social Media
193,2025-10-27,18-24,Australia,Female,Organic Search
194,2026-06-30,18-24,USA,Female,Organic Search
195,2026-01-06,45+,Australia,Male,Organic Search
196,2026-06-08,35-44,India,Female,Social Media
197,2026-02-14,18-24,Canada,Prefer not to say,Organic Search
198,2025-08-15,25-34,India,Female,Social Media
199,2026-07-28,35-44,Canada,Male,Referral
200,2026-05-29,25-34,Australia,Female,Referral
201,2026-07-17,18-24,India,Female,Paid Ads
202,2026-07-02,25-34,India,Female,Organic Search
203,2026-06-03,25-34,India,Male,Organic Search
204,2025-09-26,18-24,USA,Female,Organic Search
205,2026-01-21,35-44,India,Female,Referral
206,2025-10-14,35-44,India,Female,Referral
207,2025-12-21,45+,India,Male,Social Media
208,2025-08-18,25-34,Canada,Female,Social Media
209,2025-12-13,25-34,India,Female,Social Media
210,2026-07-23,25-34,India,Male,Paid Ads
211,2025-11-02,18-24,USA,Female,Referral
212,2026-05-10,35-44,Canada,Male,Organic Search
213,2026-01-10,25-34,UK,Female,Organic Search
214,2025-12-29,18-24,USA,Female,Paid Ads
215,2026-07-13,25-34,India,Male,Social Media
216,2026-07-27,35-44,India,Female,Paid Ads
217,2026-02-16,18-24,UK,Male,Organic Search
218,2026-04-16,18-24,India,Female,Referral
219,2025-09-22,18-24,India,Female,Social Media
220,2025-11-13,18-24,Australia,Male,Social Media
221,2026-07-17,18-24,India,Male,Referral
222,2026-02-24,35-44,USA,Male,Social Media
223,2026-02-11,18-24,USA,Female,Social Media
224,2026-04-27,18-24,Canada,Male,Organic Search
225,2025-08-17,25-34,India,Female,Social Media
226,2026-02-26,45+,India,Non-binary,Social Media
227,2026-01-28,18-24,USA,Female,Referral
228,2026-06-05,18-24,USA,Female,Paid Ads
229,2025-09-23,18-24,UK,Female,Organic Search
230,2026-07-14,25-34,USA,Female,Referral
231,2025-08-26,25-34,Canada,Female,Paid Ads
232,2025-10-04,25-34,India,Male,Social Media
233,2026-03-02,25-34,India,Male,Referral
234,2026-04-01,18-24,India,Female,Paid Ads
235,2025-10-22,25-34,Australia,Female,Organic Search
236,2025-09-09,35-44,India,Female,Referral
237,2026-06-18,18-24,India,Non-binary,Organic Search
238,2025-10-26,45+,Canada,Female,Paid Ads
239,2026-03-02,45+,Canada,Male,Referral
240,2026-03-11,18-24,India,Male,Social Media
241,2025-12-28,25-34,USA,Female,Paid Ads
242,2026-02-26,18-24,India,Male,Referral
243,2026-02-04,25-34,Australia,Male,Organic Search
244,2026-07-05,35-44,Australia,Male,Social Media
245,2025-10-10,18-24,Australia,Male,Social Media
246,2026-04-16,18-24,Canada,Male,Social Media
247,2025-10-23,25-34,UK,Female,Social Media
248,2025-12-19,25-34,India,Male,Organic Search
249,2026-03-30,25-34,India,Female,Organic Search
250,2025-11-14,25-34,India,Female,Referral
251,2025-11-20,18-24,USA,Female,Paid Ads
252,2026-04-29,25-34,India,Male,Organic Search
253,2025-08-23,35-44,India,Female,Social Media
254,2026-01-11,25-34,India,Female,Organic Search
255,2026-07-28,18-24,USA,Male,Referral
256,2026-07-27,18-24,India,Female,Organic Search
257,2025-08-23,18-24,Australia,Male,Referral
258,2025-10-14,18-24,India,Male,Organic Search
259,2025-11-02,25-34,India,Male,Referral
260,2026-07-04,18-24,India,Male,Organic Search
261,2026-06-15,25-34,India,Female,Social Media
262,2026-06-14,35-44,India,Male,Social Media
263,2025-12-10,45+,India,Female,Referral
264,2025-09-23,25-34,India,Non-binary,Organic Search
265,2026-05-29,25-34,India,Female,Social Media
266,2026-04-11,35-44,India,Male,Social Media
267,2026-03-08,18-24,India,Female,Social Media
268,2026-07-24,18-24,Australia,Female,Social Media
269,2026-03-24,25-34,India,Female,Referral
270,2025-07-30,25-34,UK,Female,Organic Search
271,2026-05-23,25-34,India,Male,Social Media
272,2025-11-14,25-34,India,Male,Social Media
273,2026-03-27,25-34,India,Female,Organic Search
274,2026-07-06,35-44,India,Male,Referral
275,2025-09-15,35-44,USA,Female,Social Media
276,2025-09-08,18-24,India,Male,Social Media
277,2025-09-05,35-44,Canada,Female,Paid Ads
278,2026-02-15,25-34,India,Female,Organic Search
279,2025-11-04,25-34,India,Male,Referral
280,2026-03-06,25-34,UK,Female,Referral
281,2026-04-16,35-44,Australia,Female,Social Media
282,2025-10-10,25-34,India,Female,Referral
283,2026-03-17,18-24,India,Female,Organic Search
284,2025-11-01,18-24,India,Female,Social Media
285,2026-01-22,25-34,India,Female,Organic Search
286,2026-06-24,25-34,India,Male,Organic Search
287,2026-06-02,25-34,UK,Female,Social Media
288,2025-08-30,18-24,India,Male,Social Media
289,2025-12-30,25-34,India,Female,Social Media
290,2025-11-06,25-34,India,Female,Organic Search
291,2025-07-29,25-34,India,Female,Social Media
292,2026-05-06,25-34,India,Male,Social Media
293,2026-03-18,18-24,India,Male,Organic Search
294,2025-10-31,18-24,India,Male,Referral
295,2026-04-25,18-24,India,Female,Social Media
296,2026-02-14,35-44,Canada,Male,Referral
297,2025-12-31,18-24,India,Female,Referral
298,2025-07-31,25-34,USA,Female,Social Media
299,2025-08-24,18-24,India,Male,Referral
300,2026-06-16,25-34,Canada,Female,Organic Search
301,2026-06-23,35-44,India,Female,Social Media
302,2026-02-12,25-34,India,Male,Organic Search
303,2026-05-29,18-24,India,Male,Social Media
304,2026-02-26,35-44,India,Female,Referral
305,2025-09-20,35-44,India,Male,Organic Search
306,2025-09-12,25-34,UK,Female,Organic Search
307,2025-11-17,35-44,India,Female,Referral
308,2026-06-22,25-34,Australia,Female,Social Media
309,2026-05-15,25-34,Canada,Female,Organic Search
310,2026-06-08,18-24,India,Male,Organic Search
311,2026-06-22,18-24,India,Male,Social Media
312,2025-10-12,18-24,Canada,Male,Referral
313,2025-10-27,35-44,USA,Female,Social Media
314,2025-09-03,25-34,UK,Female,Social Media
315,2026-05-09,35-44,USA,Male,Social Media
316,2026-06-16,18-24,India,Male,Referral
317,2025-12-23,18-24,UK,Female,Organic Search
318,2026-03-12,18-24,India,Male,Social Media
319,2025-09-22,18-24,India,Male,Social Media
320,2026-07-03,18-24,USA,Female,Social Media
321,2026-06-09,18-24,India,Female,Organic Search
322,2026-07-20,25-34,USA,Female,Referral
323,2026-05-20,18-24,USA,Male,Organic Search
324,2026-06-15,45+,USA,Male,Social Media
325,2025-08-06,45+,India,Male,Referral
326,2026-04-23,35-44,USA,Female,Referral
327,2025-11-26,25-34,India,Female,Social Media
328,2026-07-03,25-34,India,Male,Organic Search
329,2026-05-17,45+,India,Male,Organic Search
330,2026-06-09,18-24,Canada,Male,Referral
331,2026-05-20,35-44,Canada,Male,Organic Search
332,2025-11-02,35-44,India,Male,Organic Search
333,2026-05-12,35-44,UK,Female,Organic Search
334,2025-09-05,25-34,India,Female,Organic Search
335,2026-06-12,25-34,India,Female,Social Media
336,2026-06-07,25-34,India,Female,Social Media
337,2025-10-17,35-44,India,Female,Paid Ads
338,2026-05-22,25-34,India,Male,Social Media
339,2026-01-12,45+,Canada,Female,Organic Search
340,2025-11-16,18-24,USA,Female,Social Media
341,2026-05-15,18-24,Canada,Female,Organic Search
342,2025-10-19,35-44,India,Female,Organic Search
343,2025-08-05,25-34,Australia,Male,Social Media
344,2025-10-06,18-24,India,Male,Social Media
345,2025-11-25,18-24,Australia,Male,Organic Search
346,2026-06-09,45+,Canada,Female,Referral
347,2026-07-16,18-24,India,Female,Social Media
348,2025-11-07,18-24,UK,Male,Organic Search
349,2026-03-19,18-24,India,Female,Social Media
350,2025-12-21,25-34,India,Male,Organic Search
351,2026-07-22,18-24,India,Male,Referral
352,2026-02-09,25-34,India,Female,Social Media
353,2026-07-06,18-24,India,Male,Organic Search
354,2025-09-08,25-34,USA,Male,Social Media
355,2026-07-18,25-34,India,Non-binary,Organic Search
356,2025-10-01,25-34,India,Prefer not to say,Social Media
357,2026-07-15,25-34,India,Female,Paid Ads
358,2025-11-02,18-24,India,Female,Organic Search
359,2025-09-05,25-34,USA,Female,Referral
360,2026-01-03,18-24,India,Female,Referral
361,2026-04-20,18-24,UK,Male,Social Media
362,2025-11-19,25-34,Canada,Male,Referral
363,2026-03-06,25-34,India,Male,Organic Search
364,2026-01-31,18-24,Australia,Female,Paid Ads
365,2025-12-15,25-34,India,Female,Organic Search
366,2026-02-24,25-34,UK,Female,Organic Search
367,2025-10-29,18-24,India,Female,Referral
368,2026-04-13,35-44,India,Non-binary,Social Media
369,2025-07-28,25-34,Australia,Female,Referral
370,2026-07-01,25-34,India,Female,Referral
371,2026-02-10,25-34,India,Male,Social Media
372,2026-04-17,18-24,USA,Male,Social Media
373,2026-04-25,25-34,India,Female,Organic Search
374,2026-03-30,45+,India,Prefer not to say,Paid Ads
375,2025-12-08,18-24,USA,Male,Referral
376,2025-08-22,25-34,Australia,Male,Social Media
377,2026-03-28,35-44,India,Male,Referral
378,2025-11-25,25-34,India,Female,Social Media
379,2025-11-19,25-34,Australia,Male,Referral
380,2026-06-03,25-34,India,Male,Social Media
381,2026-04-17,18-24,India,Female,Social Media
382,2025-11-14,25-34,USA,Male,Organic Search
383,2025-11-18,25-34,Australia,Male,Paid Ads
384,2025-12-24,25-34,India,Female,Social Media
385,2025-12-22,35-44,India,Male,Social Media
386,2025-11-13,35-44,India,Male,Organic Search
387,2025-09-12,25-34,Canada,Female,Referral
388,2025-12-28,35-44,USA,Female,Social Media
389,2026-07-07,18-24,India,Male,Referral
390,2026-04-01,18-24,USA,Male,Referral
391,2026-06-23,25-34,USA,Male,Organic Search
392,2026-03-10,45+,UK,Female,Referral
393,2025-11-15,35-44,India,Non-binary,Social Media
394,2026-02-13,25-34,USA,Male,Referral
395,2025-07-28,35-44,USA,Male,Paid Ads
396,2025-11-10,25-34,Australia,Male,Organic Search
397,2026-01-01,18-24,India,Male,Referral
398,2026-02-25,18-24,Australia,Female,Referral
399,2026-03-24,18-24,USA,Female,Organic Search
400,2026-01-14,18-24,India,Female,Organic Search
401,2026-01-05,45+,India,Female,Referral
402,2025-10-14,25-34,Canada,Female,Referral
403,2026-01-17,18-24,India,Female,Social Media
404,2026-06-22,25-34,UK,Male,Social Media
405,2026-05-15,25-34,USA,Male,Paid Ads
406,2025-09-28,25-34,Canada,Female,Organic Search
407,2025-08-28,18-24,India,Male,Social Media
408,2026-02-01,18-24,USA,Male,Referral
409,2026-03-16,25-34,Canada,Non-binary,Organic Search
410,2025-11-27,25-34,USA,Male,Social Media
411,2026-05-23,18-24,India,Male,Organic Search
412,2026-04-28,25-34,USA,Male,Referral
413,2026-03-31,18-24,India,Female,Organic Search
414,2025-10-18,35-44,India,Female,Social Media
415,2025-10-08,18-24,India,Female,Social Media
416,2025-08-05,45+,India,Male,Organic Search
417,2025-10-25,25-34,Canada,Female,Social Media
418,2026-01-17,25-34,Canada,Male,Referral
419,2026-06-04,25-34,UK,Male,Social Media
420,2025-08-23,25-34,India,Female,Organic Search
421,2025-12-26,25-34,UK,Male,Paid Ads
422,2026-03-15,25-34,India,Non-binary,Organic Search
423,2025-10-07,35-44,India,Female,Referral
424,2026-04-08,18-24,India,Female,Organic Search
425,2026-01-24,18-24,India,Male,Social Media
426,2025-10-25,25-34,India,Male,Social Media
427,2026-03-25,18-24,Australia,Female,Organic Search
428,2025-07-30,18-24,Canada,Female,Referral
429,2026-04-28,18-24,Canada,Male,Social Media
430,2026-05-05,45+,USA,Female,Referral
431,2025-09-05,25-34,India,Male,Paid Ads
432,2025-12-30,35-44,UK,Female,Referral
433,2025-09-30,25-34,India,Female,Social Media
434,2026-07-13,35-44,India,Female,Organic Search
435,2026-02-02,45+,India,Male,Organic Search
436,2025-08-15,18-24,USA,Male,Referral
437,2025-10-27,35-44,Canada,Female,Organic Search
438,2026-06-03,18-24,India,Male,Social Media
439,2026-01-11,25-34,India,Male,Paid Ads
440,2026-05-17,18-24,India,Female,Referral
441,2026-03-29,25-34,USA,Female,Organic Search
442,2026-07-24,18-24,USA,Male,Paid Ads
443,2026-03-02,18-24,India,Male,Referral
444,2026-07-10,18-24,India,Female,Referral
445,2026-06-19,18-24,India,Female,Organic Search
446,2026-03-09,45+,Canada,Female,Referral
447,2026-04-17,18-24,India,Female,Organic Search
448,2026-01-28,25-34,India,Male,Organic Search
449,2026-05-27,25-34,Australia,Female,Organic Search
450,2026-02-13,25-34,USA,Male,Social Media
451,2026-06-21,25-34,USA,Male,Social Media
452,2026-04-26,25-34,India,Female,Organic Search
453,2026-01-17,25-34,Australia,Male,Paid Ads
454,2025-10-30,35-44,India,Male,Paid Ads
455,2025-10-26,18-24,USA,Female,Organic Search
456,2026-03-18,25-34,India,Female,Paid Ads
457,2026-05-04,35-44,India,Female,Organic Search
458,2026-02-03,35-44,Australia,Male,Social Media
459,2026-03-14,45+,Australia,Female,Referral
460,2025-11-05,18-24,USA,Male,Paid Ads
461,2025-08-25,18-24,Australia,Female,Social Media
462,2025-11-09,45+,Canada,Male,Organic Search
463,2025-11-04,18-24,India,Male,Organic Search
464,2025-11-22,18-24,UK,Female,Social Media
465,2026-02-10,35-44,India,Female,Referral
466,2025-09-16,35-44,India,Male,Social Media
467,2025-10-20,18-24,India,Male,Organic Search
468,2026-04-07,18-24,India,Female,Paid Ads
469,2026-04-12,18-24,UK,Male,Social Media
470,2025-08-20,25-34,India,Male,Organic Search
471,2025-12-24,25-34,India,Female,Referral
472,2026-02-11,18-24,India,Female,Organic Search
473,2025-12-27,25-34,India,Male,Organic Search
474,2025-10-11,25-34,USA,Male,Social Media
475,2025-12-28,25-34,India,Female,Organic Search
476,2026-06-24,18-24,UK,Female,Organic Search
477,2026-02-26,25-34,UK,Male,Social Media
478,2026-04-08,18-24,India,Female,Social Media
479,2026-06-06,18-24,India,Female,Organic Search
480,2026-05-04,18-24,USA,Male,Social Media
481,2025-12-14,35-44,India,Female,Social Media
482,2025-07-30,18-24,India,Female,Referral
483,2025-12-03,25-34,Canada,Female,Social Media
484,2026-04-29,18-24,India,Male,Paid Ads
485,2026-06-05,45+,India,Female,Organic Search
486,2026-07-11,25-34,UK,Female,Paid Ads
487,2025-12-28,25-34,India,Prefer not to say,Organic Search
488,2026-04-27,35-44,Australia,Male,Social Media
489,2026-02-12,25-34,India,Female,Organic Search
490,2026-03-05,18-24,India,Female,Referral
491,2025-10-16,18-24,India,Male,Organic Search
492,2025-10-16,25-34,India,Female,Referral
493,2026-01-03,18-24,India,Male,Paid Ads
494,2025-08-07,25-34,India,Female,Social Media
495,2025-11-28,35-44,Canada,Male,Organic Search
496,2026-04-02,18-24,India,Female,Referral
497,2025-12-22,18-24,UK,Male,Organic Search
498,2025-09-26,18-24,Canada,Male,Social Media
499,2026-01-15,18-24,Canada,Female,Organic Search
500,2025-09-12,25-34,USA,Male,Organic Search
501,2026-03-12,18-24,USA,Male,Organic Search
502,2025-08-06,18-24,Australia,Female,Paid Ads
503,2025-12-19,25-34,India,Female,Paid Ads
504,2026-02-19,45+,USA,Female,Organic Search
505,2025-08-06,25-34,India,Male,Referral
506,2026-03-20,25-34,Canada,Male,Referral
507,2025-09-15,35-44,Australia,Female,Paid Ads
508,2026-01-12,25-34,India,Male,Organic Search
509,2025-08-15,25-34,Australia,Female,Organic Search
510,2025-12-13,25-34,India,Male,Social Media
511,2025-10-13,25-34,Canada,Male,Referral
512,2025-11-24,25-34,USA,Male,Referral
513,2026-05-02,18-24,Australia,Male,Paid Ads
514,2025-12-13,45+,India,Prefer not to say,Social Media
515,2026-04-29,18-24,USA,Male,Paid Ads
516,2026-05-28,25-34,UK,Male,Social Media
517,2025-10-28,25-34,India,Female,Social Media
518,2025-08-26,18-24,Australia,Male,Referral
519,2025-08-04,35-44,India,Male,Social Media
520,2026-02-10,18-24,India,Male,Paid Ads
521,2026-07-28,25-34,India,Male,Organic Search
522,2025-12-03,25-34,Canada,Female,Social Media
523,2026-03-22,25-34,India,Female,Paid Ads
524,2026-05-09,25-34,India,Male,Referral
525,2026-03-23,18-24,UK,Female,Paid Ads
526,2026-04-30,25-34,USA,Male,Organic Search
527,2026-07-10,35-44,Australia,Female,Referral
528,2025-10-08,25-34,Canada,Male,Referral
529,2025-08-04,18-24,India,Male,Social Media
530,2025-09-21,25-34,USA,Female,Social Media
531,2025-09-12,18-24,USA,Male,Social Media
532,2026-03-30,18-24,Australia,Male,Referral
533,2026-02-19,25-34,Canada,Female,Organic Search
534,2025-10-15,18-24,India,Male,Social Media
535,2026-04-10,35-44,India,Male,Organic Search
536,2026-05-04,25-34,USA,Prefer not to say,Organic Search
537,2025-09-27,25-34,Canada,Female,Referral
538,2026-03-07,35-44,India,Male,Social Media
539,2026-04-27,18-24,India,Male,Social Media
540,2025-09-07,25-34,UK,Female,Referral
541,2026-05-23,18-24,India,Male,Organic Search
542,2026-07-16,35-44,Canada,Male,Organic Search
543,2025-09-05,18-24,Australia,Female,Social Media
544,2025-08-06,18-24,Australia,Male,Paid Ads
545,2025-11-19,25-34,UK,Female,Organic Search
546,2026-04-01,18-24,India,Male,Referral
547,2026-07-13,25-34,Canada,Male,Referral
548,2025-12-20,18-24,Australia,Female,Social Media
549,2026-04-15,45+,India,Male,Referral
550,2025-08-24,18-24,UK,Female,Organic Search
551,2026-04-06,35-44,India,Male,Paid Ads
552,2026-03-14,25-34,India,Female,Social Media
553,2025-09-03,25-34,USA,Male,Social Media
554,2026-05-06,35-44,UK,Male,Organic Search
555,2026-06-04,25-34,USA,Female,Organic Search
556,2026-03-04,18-24,India,Male,Organic Search
557,2025-09-10,18-24,India,Male,Social Media
558,2026-07-23,25-34,India,Male,Organic Search
559,2026-05-10,18-24,USA,Male,Organic Search
560,2025-12-02,18-24,India,Male,Paid Ads
561,2025-12-31,35-44,Australia,Female,Organic Search
562,2025-12-10,25-34,India,Male,Social Media
563,2026-01-29,18-24,India,Male,Social Media
564,2025-11-29,18-24,India,Male,Social Media
565,2026-06-03,25-34,India,Male,Organic Search
566,2026-05-24,45+,India,Female,Referral
567,2025-09-04,18-24,India,Female,Referral
568,2026-07-14,45+,India,Male,Paid Ads
569,2026-03-17,18-24,India,Non-binary,Paid Ads
570,2026-05-27,18-24,USA,Female,Social Media
571,2026-04-12,18-24,India,Female,Organic Search
572,2026-01-03,18-24,USA,Female,Social Media
573,2026-04-22,25-34,USA,Female,Social Media
574,2026-07-16,25-34,India,Male,Social Media
575,2025-11-03,35-44,UK,Male,Social Media
576,2026-05-19,25-34,India,Female,Referral
577,2026-02-09,35-44,India,Prefer not to say,Social Media
578,2026-01-20,25-34,India,Female,Social Media
