entry_id,user_id,entry_date,entry_time,word_count,mood_before,mood_after,writing_duration_minutes,used_prompt,device_type,streak_at_entry
51,2,2025-09-12,Evening,449,2,3,14,False,Android,1
52,2,2025-09-13,Morning,337,2,4,13,False,Web,2
53,2,2025-09-17,Morning,377,3,4,12,False,Web,1
54,2,2025-09-21,Morning,333,3,3,12,True,iOS,1
55,2,2025-09-25,Night,293,2,3,8,False,Web,1
56,2,2025-09-28,Evening,327,3,4,11,False,Web,1
57,2,2025-10-02,Evening,350,3,4,13,True,Web,1
58,2,2025-10-04,Evening,231,1,2,9,False,Android,1
59,2,2025-10-06,Morning,282,5,5,12,True,Android,1
60,2,2025-10-09,Evening,357,5,5,10,False,Web,1
61,2,2025-10-12,Night,232,5,5,7,True,Web,1
62,2,2025-10-13,Morning,178,3,3,6,False,iOS,2
63,2,2025-10-14,Evening,229,5,5,7,False,Android,3
64,2,2025-10-16,Evening,312,5,5,10,True,Web,1
65,2,2025-10-22,Evening,386,4,5,14,False,Android,1
66,2,2025-10-25,Afternoon,384,2,4,11,False,Android,1
67,2,2025-10-26,Morning,341,4,5,10,False,Web,2
68,2,2025-10-30,Evening,608,3,4,18,True,Android,1
69,2,2025-11-05,Afternoon,238,4,4,8,False,iOS,1
70,2,2025-11-06,Morning,281,1,2,9,False,iOS,2
71,2,2025-11-07,Evening,262,2,3,11,False,iOS,3
72,2,2025-11-08,Morning,387,3,4,15,True,Android,4
73,2,2025-11-11,Afternoon,303,3,3,10,False,Android,1
74,2,2025-11-14,Evening,247,3,4,7,True,iOS,1
75,2,2025-11-16,Afternoon,247,3,3,8,True,Web,1
76,2,2025-11-18,Morning,368,1,2,10,False,Android,1
77,2,2025-12-03,Morning,203,4,4,8,False,iOS,1
78,2,2025-12-06,Morning,273,2,3,8,True,Android,1
79,2,2025-12-07,Evening,469,3,3,17,True,Android,2
80,2,2025-12-10,Afternoon,382,2,3,11,False,Android,1
81,2,2025-12-11,Afternoon,335,1,2,11,False,iOS,2
82,2,2025-12-16,Afternoon,361,2,3,12,False,Web,1
83,2,2025-12-22,Morning,430,2,3,14,False,Android,1
84,2,2025-12-23,Evening,185,1,2,6,False,Android,2
85,2,2025-12-25,Evening,221,3,4,9,True,Android,1
86,2,2025-12-27,Evening,336,3,3,11,True,Android,1
87,2,2025-12-28,Afternoon,426,5,5,15,True,Android,2
88,2,2026-01-02,Morning,200,3,4,7,True,Android,1
89,2,2026-01-04,Evening,322,5,5,14,False,iOS,1
90,2,2026-01-07,Morning,250,3,4,11,True,Android,1
91,2,2026-01-10,Evening,328,4,4,10,False,Android,1
92,2,2026-01-13,Evening,244,4,5,7,False,Android,1
93,2,2026-01-14,Afternoon,359,2,3,10,False,Web,2
94,2,2026-01-17,Evening,348,3,3,10,False,Android,1
95,2,2026-01-21,Night,282,3,4,8,False,Android,1
96,2,2026-01-25,Evening,387,4,4,11,False,Android,1
97,2,2026-02-02,Evening,354,3,4,13,False,Android,1
98,2,2026-02-05,Night,275,1,3,11,False,Android,1
99,2,2026-02-07,Afternoon,307,3,4,10,False,Android,1
100,2,2026-02-08,Night,347,3,3,13,True,Android,2
101,2,2026-02-10,Night,349,3,4,15,False,Android,1
102,2,2026-02-11,Night,350,3,3,12,True,iOS,2
103,2,2026-02-18,Morning,233,3,4,9,False,Android,1
104,2,2026-02-24,Evening,274,4,4,11,True,Android,1
105,2,2026-02-25,Morning,262,2,4,11,True,Android,2
106,2,2026-02-27,Morning,318,5,5,11,False,iOS,1
107,2,2026-03-02,Morning,242,4,5,7,True,Android,1
108,2,2026-03-03,Morning,282,3,4,8,False,Android,2
109,2,2026-03-07,Night,298,2,3,13,False,Web,1
110,2,2026-03-11,Morning,276,2,3,9,False,Android,1
111,2,2026-03-14,Evening,291,4,4,11,True,Android,1
112,2,2026-03-16,Night,332,4,4,9,True,iOS,1
113,2,2026-03-19,Evening,317,1,3,13,False,Android,1
114,2,2026-03-22,Evening,301,3,4,10,False,iOS,1
115,2,2026-03-24,Morning,472,3,4,15,False,Android,1
116,2,2026-03-25,Morning,238,4,3,9,True,Android,2
117,2,2026-03-27,Morning,475,5,5,18,False,iOS,1
118,2,2026-04-09,Morning,235,2,3,8,False,iOS,1
119,2,2026-04-11,Morning,327,3,3,12,False,iOS,1
120,2,2026-04-15,Morning,450,4,4,18,False,Android,1
121,2,2026-04-16,Morning,194,4,5,5,False,iOS,2
122,2,2026-04-21,Morning,446,4,3,19,False,Android,1
123,2,2026-04-24,Evening,162,3,4,4,False,Android,1
124,2,2026-04-25,Afternoon,408,4,5,14,False,iOS,2
125,2,2026-04-27,Evening,300,3,3,9,True,Web,1
126,2,2026-05-01,Afternoon,303,5,5,12,False,Android,1
127,2,2026-05-07,Afternoon,309,3,3,12,False,iOS,1
128,2,2026-05-09,Evening,341,3,4,12,False,Android,1
129,2,2026-05-11,Night,424,2,3,14,False,Android,1
130,2,2026-05-12,Evening,309,4,4,10,False,Android,2
131,2,2026-05-16,Evening,351,4,4,11,False,iOS,1
132,2,2026-05-18,Evening,409,2,3,18,False,Android,1
133,2,2026-05-25,Evening,205,3,4,6,False,Web,1
134,2,2026-05-28,Morning,136,3,4,4,False,Web,1
135,2,2026-05-30,Evening,163,3,4,5,False,iOS,1
136,2,2026-06-02,Morning,295,5,5,11,False,iOS,1
137,2,2026-06-03,Evening,329,3,3,13,True,iOS,2
138,2,2026-06-11,Evening,224,3,4,7,False,Web,1
139,2,2026-06-19,Afternoon,257,3,3,10,False,Android,1
140,2,2026-06-26,Evening,236,2,3,8,False,Web,1
141,2,2026-06-27,Morning,457,2,3,20,False,Web,2
142,3,2025-11-10,Evening,91,4,4,3,True,Android,1
143,3,2025-11-11,Evening,86,4,5,2,False,iOS,2
144,3,2025-11-13,Night,83,4,4,3,False,Android,1
145,3,2025-11-15,Afternoon,44,3,4,2,True,Android,1
146,3,2025-11-16,Evening,131,4,3,5,False,iOS,2
147,3,2025-12-09,Evening,182,4,5,7,False,Web,1
148,3,2025-12-27,Morning,123,3,4,4,False,Android,1
149,3,2025-12-28,Evening,70,2,3,2,False,Android,2
150,3,2026-01-06,Night,57,4,4,2,True,Web,1
151,3,2026-01-14,Evening,92,4,4,3,False,iOS,1
152,3,2026-01-19,Morning,64,4,4,2,True,Web,1
153,3,2026-01-23,Evening,117,2,3,4,False,Android,1
154,3,2026-01-25,Night,147,5,5,5,False,Android,1
155,3,2026-01-26,Night,70,2,3,2,True,Android,2
156,3,2026-02-03,Afternoon,75,2,3,2,False,Web,1
157,3,2026-02-04,Afternoon,98,2,3,4,False,Web,2
158,3,2026-02-06,Evening,88,3,4,2,False,Web,1
159,3,2026-02-10,Evening,105,4,4,3,False,iOS,1
160,3,2026-02-13,Evening,60,3,4,2,True,Android,1
161,3,2026-02-15,Evening,67,4,4,2,True,Android,1
162,3,2026-02-18,Night,35,2,3,2,True,Web,1
163,3,2026-02-19,Morning,88,2,3,3,True,Android,2
164,3,2026-02-21,Morning,53,1,2,2,False,Android,1
165,3,2026-02-24,Evening,120,1,3,4,False,iOS,1
166,3,2026-02-28,Evening,72,3,4,2,False,Android,1
167,3,2026-03-06,Afternoon,107,3,4,3,False,iOS,1
168,3,2026-03-09,Morning,83,5,5,2,False,Android,1
169,3,2026-03-18,Evening,92,5,5,3,False,iOS,1
170,3,2026-03-27,Afternoon,85,4,4,2,False,Android,1
171,3,2026-03-30,Evening,101,2,3,3,True,Android,1
172,3,2026-04-06,Afternoon,77,3,3,2,False,iOS,1
173,3,2026-04-16,Evening,28,3,4,2,False,iOS,1
174,3,2026-04-24,Night,59,3,4,2,False,Android,1
175,3,2026-04-29,Night,114,2,4,3,False,Android,1
176,3,2026-04-30,Evening,23,3,3,2,True,iOS,2
177,3,2026-05-08,Morning,100,3,3,3,True,iOS,1
178,3,2026-05-16,Afternoon,77,3,4,2,True,iOS,1
179,3,2026-05-19,Afternoon,114,2,3,5,False,Android,1
180,3,2026-05-22,Morning,64,3,4,2,False,Android,1
181,3,2026-05-30,Night,81,3,4,2,True,Android,1
182,3,2026-06-06,Morning,60,2,3,2,False,iOS,1
183,3,2026-06-10,Evening,102,4,4,4,True,iOS,1
184,3,2026-06-18,Evening,146,3,3,4,False,Android,1
185,3,2026-06-23,Morning,109,3,4,4,False,iOS,1
186,4,2025-10-17,Evening,689,3,4,23,False,Web,1
187,4,2025-10-18,Morning,719,1,3,23,True,Android,2
188,4,2025-10-19,Morning,830,5,5,34,True,Android,3
189,4,2025-10-20,Afternoon,986,3,4,28,True,iOS,4
190,4,2025-10-21,Night,607,5,5,25,False,iOS,5
191,4,2025-10-22,Afternoon,710,5,5,23,False,iOS,6
192,4,2025-10-24,Evening,896,3,3,33,False,Android,1
193,4,2025-10-25,Morning,517,4,3,17,True,Android,2
194,4,2025-10-27,Evening,402,4,4,15,False,Android,1
195,4,2025-10-28,Afternoon,653,4,4,27,False,Android,2
196,4,2025-10-29,Afternoon,429,2,3,15,True,Android,3
197,4,2025-10-30,Evening,1032,4,4,46,False,iOS,4
198,4,2025-10-31,Morning,902,3,3,26,False,Android,5
199,4,2025-11-05,Evening,1163,2,3,50,True,Android,1
200,4,2025-11-08,Evening,710,4,4,21,False,Android,1
201,4,2025-11-09,Evening,694,2,3,23,False,iOS,2
202,4,2025-11-13,Evening,602,1,3,21,False,Android,1
203,4,2025-11-14,Morning,924,3,4,38,True,Web,2
204,4,2025-11-15,Morning,326,2,4,9,True,Android,3
205,4,2025-11-17,Evening,500,3,3,22,False,Web,1
206,4,2025-11-18,Afternoon,1015,2,4,33,False,Android,2
207,4,2025-11-19,Morning,829,1,2,37,False,iOS,3
208,4,2025-11-21,Afternoon,496,2,4,20,False,iOS,1
209,4,2025-11-22,Afternoon,656,3,3,20,True,iOS,2
210,4,2025-11-23,Evening,632,4,5,23,False,iOS,3
211,4,2025-11-24,Evening,806,3,3,36,False,Web,4
212,4,2025-11-26,Morning,644,2,3,28,False,Android,1
213,4,2025-11-30,Morning,866,2,3,26,False,Web,1
214,4,2025-12-01,Morning,666,3,3,24,False,Web,2
215,4,2025-12-02,Evening,469,3,3,16,True,Web,3
216,4,2025-12-03,Afternoon,1015,3,3,29,False,Android,4
217,4,2025-12-04,Afternoon,693,4,4,20,True,Android,5
218,4,2025-12-05,Morning,898,4,4,40,False,Android,6
219,4,2025-12-06,Night,457,2,3,19,False,iOS,7
220,4,2025-12-08,Morning,833,4,5,28,False,iOS,1
221,4,2025-12-09,Evening,735,2,3,28,False,Android,2
222,4,2025-12-10,Morning,523,3,4,15,False,Android,3
223,4,2025-12-12,Morning,746,2,3,25,True,Android,1
224,4,2025-12-13,Afternoon,876,3,3,25,False,Android,2
225,4,2025-12-14,Night,587,3,3,24,False,Android,3
226,4,2025-12-15,Morning,704,4,4,23,True,Android,4
227,4,2025-12-16,Morning,533,2,3,17,False,iOS,5
228,4,2025-12-17,Night,456,2,3,16,True,Android,6
229,4,2025-12-18,Night,545,3,4,24,False,Android,7
230,4,2025-12-19,Evening,826,2,3,36,False,Android,8
231,4,2025-12-20,Evening,906,3,4,38,False,iOS,9
232,4,2025-12-21,Evening,573,1,3,20,False,Android,10
233,4,2025-12-22,Evening,827,3,4,25,False,Android,11
234,4,2025-12-24,Evening,598,3,3,20,False,iOS,1
235,4,2025-12-25,Evening,686,3,3,28,False,Android,2
236,4,2025-12-26,Morning,811,3,4,25,True,Web,3
237,4,2025-12-27,Night,850,4,4,33,False,Android,4
238,4,2025-12-29,Afternoon,782,3,3,22,False,Web,1
239,4,2025-12-30,Morning,777,5,4,31,False,Web,2
240,4,2026-01-02,Night,737,3,4,32,False,Android,1
241,4,2026-01-04,Evening,692,3,3,20,False,Android,1
242,4,2026-01-05,Evening,822,4,4,25,False,Android,2
243,4,2026-01-06,Evening,621,1,2,26,False,iOS,3
244,4,2026-01-07,Evening,644,3,3,20,False,Android,4
245,4,2026-01-09,Night,960,1,2,36,True,Web,1
246,4,2026-01-11,Evening,735,3,4,24,False,iOS,1
247,4,2026-01-14,Evening,714,2,3,20,False,Android,1
248,4,2026-01-15,Evening,891,4,5,33,False,Android,2
249,4,2026-01-16,Evening,1113,4,4,33,False,Web,3
250,4,2026-01-17,Evening,634,5,5,23,False,Android,4
251,4,2026-01-18,Evening,624,3,4,23,True,Android,5
252,4,2026-01-20,Afternoon,649,2,3,25,False,Android,1
253,4,2026-01-21,Afternoon,693,1,2,25,False,Android,2
254,4,2026-01-23,Morning,742,3,3,21,False,Android,1
255,4,2026-01-25,Morning,877,4,4,25,False,iOS,1
256,4,2026-01-26,Afternoon,661,3,4,27,True,Android,2
257,4,2026-01-31,Evening,729,5,5,24,False,Android,1
258,4,2026-02-01,Morning,788,3,3,32,False,Android,2
259,4,2026-02-02,Afternoon,585,2,3,25,False,iOS,3
260,4,2026-02-03,Morning,914,5,5,26,False,Web,4
261,4,2026-02-05,Evening,955,5,5,30,False,Android,1
262,4,2026-02-07,Afternoon,597,2,4,23,False,Android,1
263,4,2026-02-10,Morning,978,2,3,42,False,Android,1
264,4,2026-02-12,Morning,1023,4,4,43,True,Android,1
265,4,2026-02-13,Evening,751,4,5,24,False,Web,2
266,4,2026-02-16,Evening,760,3,3,27,False,Android,1
267,4,2026-02-17,Evening,694,3,3,30,False,Android,2
268,4,2026-02-19,Evening,1023,2,3,44,False,iOS,1
269,4,2026-02-21,Evening,1154,4,4,35,True,Android,1
270,4,2026-02-22,Evening,604,3,4,20,False,iOS,2
271,4,2026-02-23,Evening,806,2,4,24,False,iOS,3
272,4,2026-02-24,Night,899,4,5,27,False,iOS,4
273,4,2026-02-26,Morning,948,3,4,39,True,Android,1
274,4,2026-02-27,Morning,816,4,5,36,False,Android,2
275,4,2026-03-04,Afternoon,917,4,4,38,False,Android,1
276,4,2026-03-05,Morning,552,4,5,19,True,Android,2
277,4,2026-03-06,Afternoon,734,1,2,24,False,Android,3
278,4,2026-03-08,Afternoon,708,2,3,24,False,Android,1
279,4,2026-03-10,Evening,744,4,4,21,False,Android,1
280,4,2026-03-11,Night,983,3,4,28,False,Web,2
281,4,2026-03-12,Afternoon,619,2,4,23,True,Android,3
282,4,2026-03-15,Evening,734,4,4,24,False,Android,1
283,4,2026-03-19,Afternoon,599,3,4,18,False,Android,1
284,4,2026-03-20,Morning,767,1,2,29,False,iOS,2
285,4,2026-03-21,Night,600,3,4,23,False,Android,3
286,4,2026-03-23,Evening,1038,5,5,37,False,Web,1
287,4,2026-03-25,Evening,516,2,4,22,False,Android,1
288,4,2026-03-26,Afternoon,827,3,4,32,False,Android,2
289,4,2026-03-27,Evening,817,5,5,29,False,iOS,3
290,4,2026-03-28,Night,682,3,3,26,False,Android,4
291,4,2026-03-29,Evening,656,5,5,26,False,iOS,5
292,4,2026-03-30,Evening,763,1,2,28,False,iOS,6
293,4,2026-04-01,Evening,761,4,4,23,False,iOS,1
294,4,2026-04-02,Afternoon,782,4,5,25,False,iOS,2
295,4,2026-04-04,Evening,735,2,3,22,False,Android,1
296,4,2026-04-05,Evening,827,3,3,35,False,Android,2
297,4,2026-04-07,Night,692,3,4,30,True,Android,1
298,4,2026-04-08,Morning,442,3,3,13,False,Android,2
299,4,2026-04-13,Morning,618,3,4,20,True,Android,1
300,4,2026-04-15,Afternoon,263,2,3,7,True,Web,1
301,4,2026-04-16,Afternoon,525,4,3,20,False,iOS,2
302,4,2026-04-17,Evening,691,5,5,24,False,Android,3
303,4,2026-04-18,Evening,660,3,4,25,True,Web,4
304,4,2026-04-19,Morning,704,3,3,26,True,iOS,5
305,4,2026-04-20,Afternoon,519,1,2,17,False,iOS,6
306,4,2026-04-21,Morning,649,3,4,26,False,Android,7
307,4,2026-04-26,Morning,951,2,3,42,False,Android,1
308,4,2026-04-27,Morning,866,5,5,29,False,Android,2
309,4,2026-04-28,Night,861,4,5,32,False,Android,3
310,4,2026-04-29,Evening,814,4,4,24,True,iOS,4
311,4,2026-04-30,Evening,1073,3,4,37,True,Android,5
312,4,2026-05-02,Evening,575,4,4,25,True,iOS,1
313,4,2026-05-04,Night,642,2,3,18,False,Android,1
314,4,2026-05-05,Night,776,3,3,24,False,iOS,2
315,4,2026-05-07,Evening,1010,3,4,40,False,iOS,1
316,4,2026-05-10,Night,778,5,5,25,True,Web,1
317,4,2026-05-12,Afternoon,653,2,3,19,False,Web,1
318,4,2026-05-15,Evening,399,4,5,14,True,Web,1
319,4,2026-05-16,Night,740,3,3,26,False,Android,2
320,4,2026-05-19,Morning,888,4,4,26,True,Android,1
321,4,2026-05-20,Morning,817,4,4,24,True,iOS,2
322,4,2026-05-22,Evening,416,2,3,13,True,Web,1
323,4,2026-05-25,Morning,788,4,4,32,False,Android,1
324,4,2026-05-26,Afternoon,746,2,4,30,True,Android,2
325,4,2026-05-27,Evening,797,4,4,28,False,Android,3
326,4,2026-05-29,Evening,633,3,3,21,False,Android,1
327,4,2026-05-30,Afternoon,466,2,3,14,False,Android,2
328,4,2026-06-02,Morning,908,2,4,32,False,Android,1
329,4,2026-06-03,Morning,713,2,3,27,True,Android,2
330,4,2026-06-05,Afternoon,469,4,4,18,False,Android,1
331,4,2026-06-06,Evening,637,3,4,28,True,Android,2
332,4,2026-06-09,Afternoon,637,4,4,22,False,Android,1
333,4,2026-06-10,Morning,885,4,5,35,False,Android,2
334,4,2026-06-11,Morning,742,2,3,32,False,Android,3
335,4,2026-06-12,Morning,831,3,4,31,False,Android,4
336,4,2026-06-13,Evening,685,3,3,28,False,Android,5
337,4,2026-06-14,Morning,864,5,5,30,False,iOS,6
338,4,2026-06-16,Evening,762,3,4,24,False,iOS,1
339,4,2026-06-17,Afternoon,899,2,3,36,True,Web,2
340,4,2026-06-19,Night,512,3,4,22,True,Android,1
341,4,2026-06-23,Afternoon,665,3,4,21,False,Android,1
342,4,2026-06-26,Evening,739,4,5,23,False,Android,1
343,4,2026-06-28,Morning,736,3,4,32,False,Android,1
344,4,2026-06-30,Morning,889,5,5,28,True,Android,1
345,5,2026-04-26,Afternoon,430,2,3,18,True,Web,1
346,5,2026-04-28,Evening,208,3,4,9,False,iOS,1
347,5,2026-04-30,Morning,325,5,5,11,True,Android,1
348,5,2026-05-03,Evening,333,4,5,12,False,Android,1
349,5,2026-05-04,Night,347,3,4,10,True,Android,2
350,5,2026-05-05,Evening,356,3,4,15,False,Android,3
351,5,2026-05-08,Afternoon,212,3,3,7,True,iOS,1
352,5,2026-05-09,Afternoon,184,3,3,6,True,Web,2
353,5,2026-05-19,Afternoon,431,2,3,14,True,Android,1
354,5,2026-05-23,Evening,380,3,3,11,False,Web,1
355,5,2026-05-27,Morning,188,3,4,6,True,iOS,1
356,5,2026-05-30,Evening,168,3,4,5,True,Android,1
357,5,2026-06-03,Evening,360,4,5,14,False,iOS,1
358,5,2026-06-06,Night,322,5,5,9,True,Web,1
359,5,2026-06-08,Night,164,3,3,6,False,Android,1
360,5,2026-06-10,Night,292,3,4,10,False,iOS,1
361,5,2026-06-14,Evening,220,3,4,8,False,Android,1
362,5,2026-06-22,Morning,375,2,3,12,True,Web,1
363,5,2026-06-25,Afternoon,251,2,3,8,False,iOS,1
364,5,2026-06-29,Evening,325,2,4,11,False,iOS,1
365,6,2026-04-08,Morning,93,4,4,2,False,Web,1
366,6,2026-04-15,Evening,77,3,4,2,False,iOS,1
367,6,2026-04-20,Evening,47,2,3,2,True,Android,1
368,6,2026-04-23,Evening,142,4,4,5,False,iOS,1
369,6,2026-04-25,Morning,81,4,4,2,True,Android,1
370,6,2026-05-10,Afternoon,127,2,3,4,False,Android,1
371,6,2026-05-11,Morning,109,3,3,4,False,Android,2
372,6,2026-05-15,Evening,102,2,3,3,True,Android,1
373,6,2026-05-19,Morning,73,3,4,2,False,Web,1
374,6,2026-05-21,Night,48,3,4,2,False,Web,1
375,6,2026-05-26,Morning,140,3,4,4,True,iOS,1
376,6,2026-05-31,Night,73,5,5,3,False,Android,1
377,6,2026-06-02,Afternoon,78,4,4,3,False,Android,1
378,6,2026-06-07,Morning,83,4,4,3,False,Android,1
379,6,2026-06-13,Evening,91,2,3,3,False,iOS,1
380,6,2026-06-14,Morning,66,4,4,2,False,iOS,2
381,6,2026-06-17,Morning,30,4,4,2,False,Android,1
382,6,2026-06-19,Morning,101,3,4,3,False,iOS,1
383,6,2026-06-21,Afternoon,68,3,4,2,True,iOS,1
384,6,2026-06-26,Night,88,5,5,2,False,Web,1
385,6,2026-06-30,Afternoon,86,2,3,2,False,Android,1
386,7,2026-06-21,Morning,227,3,4,7,True,iOS,1
387,7,2026-06-23,Morning,212,5,5,6,False,Web,1
388,7,2026-06-24,Evening,274,5,5,8,False,Android,2
389,7,2026-06-25,Evening,315,3,4,13,False,Web,3
390,7,2026-06-26,Afternoon,275,4,5,8,False,Android,4
391,7,2026-06-27,Night,237,1,2,10,False,Android,5
392,8,2025-08-31,Evening,50,5,5,2,False,Android,1
393,8,2025-09-18,Night,101,3,4,2,False,Android,1
394,8,2025-09-28,Evening,164,3,4,4,False,Android,1
395,8,2025-09-30,Night,92,2,4,3,False,Android,1
396,8,2025-10-04,Morning,87,4,5,2,False,Android,1
397,8,2025-10-13,Morning,84,4,4,3,False,Web,1
398,8,2025-10-14,Night,67,3,3,2,True,Android,2
399,8,2025-10-24,Evening,89,3,4,2,False,iOS,1
400,8,2025-11-06,Evening,114,4,4,3,True,iOS,1
401,8,2025-11-12,Morning,71,3,3,3,False,Android,1
402,8,2025-11-29,Morning,84,2,4,2,True,Android,1
403,8,2025-12-04,Afternoon,91,5,5,3,True,iOS,1
404,8,2025-12-10,Afternoon,30,2,3,2,False,Android,1
405,8,2025-12-12,Morning,83,3,4,3,False,Web,1
406,8,2025-12-19,Morning,134,5,5,4,False,Android,1
407,8,2025-12-27,Morning,71,5,5,2,False,iOS,1
408,8,2025-12-30,Evening,80,1,2,2,False,Web,1
409,8,2025-12-31,Evening,118,4,4,4,False,Android,2
410,8,2026-01-15,Morning,45,3,3,2,True,Android,1
411,8,2026-01-26,Night,54,3,3,2,False,Web,1
412,8,2026-01-29,Night,35,4,5,2,True,iOS,1
413,8,2026-02-09,Evening,73,3,4,2,True,Web,1
414,8,2026-02-13,Evening,101,2,3,4,False,iOS,1
415,8,2026-02-17,Evening,89,5,5,3,True,Android,1
416,8,2026-02-27,Morning,107,3,4,3,False,Android,1
417,8,2026-02-28,Night,76,2,3,2,False,Android,2
418,8,2026-03-04,Evening,63,3,3,2,True,Web,1
419,8,2026-03-17,Afternoon,69,3,4,2,True,Android,1
420,8,2026-03-19,Evening,121,3,3,3,False,Web,1
421,8,2026-03-21,Morning,154,1,3,5,False,iOS,1
422,8,2026-03-22,Afternoon,71,4,4,2,False,Android,2
423,8,2026-03-25,Night,103,1,2,3,True,Android,1
424,8,2026-03-26,Evening,69,3,3,2,False,iOS,2
425,8,2026-04-01,Morning,49,4,4,2,False,iOS,1
426,8,2026-04-05,Morning,60,4,4,2,True,iOS,1
427,8,2026-04-17,Night,125,2,3,4,False,Android,1
428,8,2026-04-18,Afternoon,111,1,2,3,False,Android,2
429,8,2026-04-22,Night,47,2,4,2,False,Android,1
430,8,2026-04-27,Morning,135,2,3,4,True,Android,1
431,8,2026-04-28,Evening,70,3,4,2,False,iOS,2
432,8,2026-05-02,Evening,117,3,4,3,False,Android,1
433,8,2026-05-12,Evening,79,4,4,2,False,iOS,1
434,8,2026-05-13,Morning,64,2,3,2,False,Android,2
435,8,2026-05-18,Evening,83,3,4,2,False,Android,1
436,8,2026-05-24,Evening,81,3,3,2,True,Web,1
437,8,2026-05-26,Evening,84,4,5,2,True,Android,1
438,8,2026-05-29,Afternoon,98,3,4,3,False,Android,1
439,8,2026-06-02,Evening,95,4,4,2,False,Android,1
440,8,2026-06-04,Night,51,5,4,2,True,Android,1
441,8,2026-06-17,Afternoon,74,2,4,2,False,Web,1
442,8,2026-06-22,Afternoon,107,4,5,3,True,iOS,1
443,8,2026-06-25,Morning,106,3,4,3,False,Android,1
444,9,2026-01-01,Afternoon,37,4,4,2,True,Android,1
445,9,2026-01-05,Evening,83,2,3,2,False,iOS,1
446,9,2026-01-06,Evening,64,2,3,2,True,Android,2
447,9,2026-01-07,Night,125,3,3,4,False,Android,3
448,9,2026-01-14,Morning,71,1,3,3,True,iOS,1
449,9,2026-01-15,Evening,86,4,4,3,False,Web,2
450,9,2026-01-24,Morning,102,2,3,3,False,iOS,1
451,9,2026-02-03,Morning,141,5,5,4,False,iOS,1
452,9,2026-02-05,Evening,78,3,3,2,False,Android,1
453,9,2026-02-12,Afternoon,44,3,3,2,False,iOS,1
454,9,2026-02-16,Morning,127,2,3,4,False,Web,1
